Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
Work,"My work involves interacting with people frequently.  Some are not very nice, and I have a hard time dealing with this.",Money,There never seems to be quite enough.,Time,"There never seems to be quite enough free time to do the things I really want to do (sometimes, there's not enough time to do things I NEED to do).","I try to remain calm and positive at work, and I try to not think about work when I'm not there.","I remind myself that money is not the most important thing in the world, and that I do not really need much.","I try to enjoy whatever I do, even if it is cleaning the house."
family,when my family doesn't get along or are fighting,health,when my health or the health of my loved ones is not good,money,"not having enough to live, pay bills, rent, food, etfc",remove myself from the situation,see a doctor and work to resolve the health issue,make a budget and focus on saving money
Money ,Not enough money to pay what little bills we have let alone any emergencies or entertainment.,Getting along,My husband and our youngest son do not like each other.  They do not respect each other and they put me in the middle.,Illness,"My health is fair at best, my husbands is ok but not great.  We both have chronic pain, he has cancer and I have lupus.",Working MTurk to bring in more money.,Youngest moved out and they stay away from each other.,We try to take care of ourselves and keep up with Dr appts.
Work,Long hours and constant deadlines.,Finances.,I barely make enough to pay all my bills.,School.,I went back to college and take classes at night in addition to work.,Remember that I have a good job in a field I love.,Remember that most people in the world have it much worse and barely having able to pay bills is still having enough to pay bills.,Remember that it will be worth it in the end and will help reduce the stress from the other two.
Health worries,"Joint problems, dietary concerns",Work deadlines,Constantly have projects due,Social obligations,Having to keep meetings with friends,Take a walk,Take a short break from work,View it as blessing
Health,My husband has cancer and his health is a huge issue ,Work,Taking care of my husband doesn’t allow m3 to h@v3 a full time job,Money,Everything is so expensive wh3n you are on a budget ,Alternatively treating cancer,Find more work,Save more
salary,dealine,project,Weight,Family,friends,Work exercises,Listen the music ,eat
financial planning,future is scary for people that graduated during/soon after recession,job security,again - the recent recession didn't set me up the best,cancer,my father in law has stage 4,daily yoga practice,strength training,breathing techniques 
Health issues,Having problems with my weight,Work issues,Lots of stress at work learning new softward,Financial issues,Money seems tight with lots of upcoming repairs to home,seeing doctor on a more regular basis,taking it slowly so I won't have to repeat training,Trying to stick to a budget
Finances,I would like to be in a better financial position.,Motherhood,I sometimes feel that there are not enough hours in the day to fulfill all my duties.,Bills,I feel the bills come around so quickly.,I organize my spending habits and make sure I work hard to earn enough and save up.,I make sure that my kids & my household are well taken care of and choose not to stress over the insignificant things in life.,I mark all my bills on my calendar and make sure they are taken care of well before the due date.
money,need money for life,health,need to keep up on health ,life in general,quite stressful to think of life,i focus on meditation,i listen to music,i try to find companionship
Traffic,Driving on congested roads (especially freeways),Money,Worry about too much debt and how to pay it down,TV violence,Even ads on TV seem to depict violence,"When stuck in traffic, I remember to takke deep breaths","With debt, I do my best to analyze how best to use my income to pay it down; I practice logical approach",I turn off the TV and sit quietly in meditative thought about nature
work,losing my job soon,home,getting home diy projectsdone,church,dealing with church drama,think about new job opportunities,focus on small things,relax
Work Pressure,Work place pressure is one of the main cause of the stress,Family Issues,Another One of the main problem of the stress is Family Issues,Health Related Issues,While Compared with Both of the above Health related Issues is the Very Worst Stress Situtation,While at the time of work taking a long breath between timings,Talking to solving the issues through families,To take medicine or advice to having more excercies
Disabled mom,I am her caregiver and she treats me like crap.,Work,The kids are sometimes stubborn and refuse to listen to me.,Money,My family is poor and i'm afraid we might lose our house.,I let it out and cry.,I play video games.,I buy stuff I want.
My husband,he is struggling with depression,My step-son,he is struggling to keep a job,An upcoming vacation with my husband,the last vacation he stayed angry for two days because I didn't go into a shoe shop I said I might like and choose to continue walking instead (I still do not understand this!),Remind myself that these issues are not of my making,Short 1 or 2 minute meditations when I get frustrated/upset,"If these don't work, I tend to either read, do yoga, or go for a walk."
Applications,PhD Applications,Family,Getting texts or calls,Acquaintances,Random questions,I do a little a day,I ignore them,I try not to interact
Lack of money causes me stress.,I need more paying clients.,Boredom causes me stress. ,I have a circadian rhythm disorder so I'm awake at night instead of the day--it gets boring at 2 am.,Health issues cause me stress.,Multiple autoimmunes are a PITA to deal with.,Advertise to try to get more Tarot clients.,"Read, play video games, watch movies, play w/the cats.",See the doc on a regular basis and make sure my meds are at the right dosages.
Health,I am worried that I might get a serious disease,Finance,I am worried that I will run out of money in the future,Work,I am worried that I will not be able to get the job that I want; I will be stuck in my current job which I dislike,I eat healthy and exercise regularly,I save as much money as possible,I try to connect to the companies for whom I want to work for on social media
work,a lot of people,how i look,i dont like how i look,school,trying to make good grades,tell myself the workday will go by fast,tell myself im not ugly,tell myself i will pass this class
Finances,Not having enough money to meet our needs and let me stay home with the kids.,Living situation,Knowing our lease expires soon and not knowing where we should go next,Health,Having had a pain in my neck for many years with no answers,"I talk to someone about my worries and concerns, specifically my husband.","I pray to God for peace, faith and for His provision.",I exercise to reduce tension and help me sleep better.
Work,The people I work with get on my nervs,Bills,Trying to keep up with bills is hard sometimes,Politics,watching how the country is doing is always stressfull,Try to avoid the trouble makers,Planning out a budget,Take a break from the news
Work,Nurse at hospital ,Wife,Grumpy ,Child,Acts up,Beer,Cigarette,Long drive
Money,Not having enough money,Work,Not making enough money at work,Pets,Having a pet get sick and die,I try to work extra hours and do side jobs.,I try to come up with other small jobs I can do to make extra.,I take my pets to the vet regularly and try to keep them healthy.
grades,i want high grades ,exercise,i am trying to lose weight,money,i am trying to save money,study more and do not procrastinate,look up workout plans,don't spend too much money
money,I get paid very little for as much as I work,time,I work many hours at multiple jobs ,my car,"my car keeps breaking and I can't afford to fix it or trade it for a new one, and I still have 2 years on my lease agreement.",Work more or find a new job that pays significantly more.,Sacrifice comforts or find a job that pays significantly more.,Sell the car to pay off loan remainder and find a job closer to home that I can walk to.
Kids,The kids make messes very often and I am a neat freak.,Bills,I always have to make sure they are paid on time.,Work,I have to make sure it is done quickly and accurately.,I take a deep inhale and exhale with eyes closed.,I use scented candles to relax me.,I play Call of Duty to let out any hostility allowing the stress to grow.
Not having enough money,Only working one job,Living with many different people,Splitting rent multiple ways to make ends meet,Worry partners do not like each other,Polyamorous; dating 2 people seriously at same time,Budgeting or otherwise tracking and watching spending habits,"Go outside and hang out with friends, or build good terms with roommates","Encourage communication with all parties involved, take special time for each of them"
money,Not having enough money to pay for all the things my family needs,time ,not having enough time to get everything done I need to do,health,not being able to lose enough weight to be healthy ,work more and reduce expenses,balance my work and home life better,take steps to improve my health
Court,My abusive ex-boyfriend has pretrial next week that I have to testify at. ,Work,"My job has cut hours because the election is over, and now I barely have an income",Future,I graduated from college years ago and have never done anything that has to do with my degree.,"I organize and plan out every task that I have to do, so that I can at least get the bare minimum done.",I try to work as much as possible to make money and feel accomplished.,"If those dont work, sometimes I might turn to drinking."
Being busy,Too much going on makes it hard to focus on any one thing,Money,Needing to make difficult choices,Work,Balancing the needs of multiple clients,Prioritizing committments,Creating a budget,Prioritizing projects
Money,Having money to pay the bills,Yard,Keeping up the yard work year round,Sports,Watching my sports teams play,Work as much as I can,Manage my time so I can keep up,Gamble to where I can win even if my team loses
ACUTE STRESS,"Acute stress is usually brief. It is the most common and frequent presentation. Acute stress is most often caused by reactive thinking. Negative thoughts predominate about situations or events that have recently occurred, or upcoming situations, events, or demands in the near future.",EPISODIC ACUTE STRESS  ,"People who frequently experience acute stress, or whose lives present with frequent triggers of stress, have episodic acute stress.",CHRONIC STRESS,"Chronic stress is the most harmful type of stress. If chronic stress is left untreated over a long period of time, it can significantly and often irreversibly damage your physical health and deteriorate your mental health.", Be careful about what you eat and drink.,Take regular exercise.,Improve your study skills.
financial issues,laid off from work,looking for a new job,looking for a position that would fit my skills and monetary expectation,health,outbreak of skin allergy,look after my budget carefully,keeping looking and networking,see my family doctor
Money,"Underbudgeting, something unexpected comes up, feeling behind",Weight,"Weight gain, no weight loss",Cleaning,There is rarely enough time to keep the house clean ,I try to save 10% of my paycheck each period for a rainy day.,I keep track of what I eat and tell myself I will start exercising regularly. ,I clean one room at a time so it doesn't overwhelm me. 
Not connecting with people,I don't connect with people on a basic level throughout my day.,Social gatherings,There is too much to distract me when I'm in a social setting.,Parents,My parents inject themselves into my life too much.,I accept that I'm hard-wired this way.,I try to relax and be present in the moment.,"I set boundaries, but they aren't always respected."
About to do something important,Like be the host or the center of attention on a party or wedding or special event. I tend to get stressed and anxious no matter how prepared I am.,Late on dates for a goal,"Getting a programming project done when I am 2 weeks away and am away from completion, I usually spend 24h on it. But I weirdly like this type of stress.",Disappointing my partner or family ,When I am supposed to get something done for them but I am late on getting it done. ,Try to deal with it as much as I can.,"Play music, keep myself with some drinks like coffee.",Try to deal with it as much as I can or make up for it better at a later date.
Ambient noise,Too difficult to concentrate with noise,Body pain,Too much to do and physically tired,Finances,Things are expensive,Listen to music,Warm shower,Excercise
tension,hard work,fearness ,how to solve problems,shyness,feeling crazy,no tension,happiness,enjoyment
Extended work,When I do work for a long period of time without a break.,Lack of sleep,When I get less sleep than I normally should.,Money,When I am unable to meet my expenses.,I try to take breaks in between work time.,I go to bed early.,I cut out expenses that are not very essential.
not achieving goals,I stress about achieving my goals.,money,I stress about money.,missing out,I stress about missing out on some part of life I'm not aware of.,I pray to help reduce stress.,I meditate to help reduce stress.,I exercise to help reduce stress.
health,if someone is sick in family,financial position,if we are low in income,work tension,if work load is high,maintain good health,spend less,manage work
Inept people,Most people don't care about others,The current government,The politicians are liars and you cannot trust them,Business,The business world is only out for profit and doesn'e care aboit their customers,Exercise,Meditate,This about things like the afterlife
Trying to steer my kids on the right tract,Making sure they make the right decisions in life,Trying to lose weight it is a challenge,Tried every diet known to man still hard to lose,Trying to get my pressure down,To make it easier in my heart,Talk to them constantly,Stay on salt free diet,Bought a pressure machine
Job,Lack of work in my field. The market is really competitive,Social Life,Lack of social life because I have no money to spend,Our government,Our President is the worst human alive.,I meditate before I go to bed and when I wake up to clear my mind of all the negative thoughts and doubt.,Instead of socializing I go on Pinterest and exercise my creativity,I can only vote and find ways I can help my community
Work,I like my job a lot but it is a time crunch job with timeframes that I am held accountable to and that can be stressful.,Home,"I have a 7 month old baby, getting things done constantly with little sleep can be stressful so my home life is a little hectic at times.",Finances,"It feels like i am always trying to keep up with bills and pay off debt, being in so much debt is very stressful. Yes ",Try and make done me time doing things that I like,Try and make a little extra money on the side to help pay down bills.,Plan things better to make things less stressful
Lack of free time.,Sometimes I work so often I fell frustrated there is little time to myself.,Financial Stress.,"I don't make a ton of money, which could be stressful if I chose to let it be stressful.",Social stress.,I feel awkward in lots of social occasions.,I often listen to music.,I hang out and talk with friends.,I relax at home sometimes.
Negative attitudes from other people,Not getting to contribute to the world in the ways that I would like to because other people don't want me to use my skills because they think I'm in the wrong demographic group(s),Money,Not having enough money because I'm chronically under-employed,Lack of opportunities,Barriers to getting to do as much with my life as I would like,Music,Exercise,Relaxation
office work,"i have lot of work in my office,so i feel stress",social problem,many social issue in my place,home,i have to take care of child,time management,i stop hearing problem,no strategies
Money,"Worry that we don't have enough now, or for possible emergencies, or for retirement.",Work,Much of what happens at work is out of my control but directly impacts me.,Health,"I have an immediate family member that has a very serious health issue, I wonder how we are going to help them when I already have limited time and resources.",Looking for ways to make more money and also spend less,"Trying to realize that although it directly impacts me, it is not my fault, and that, hopefully, I'm not held responsible.","Get as many people, family and friends, involved to alleviate the impact on all of us."
Work,Deadlines and lack of cooperation from my colleagues give me the most stress at work. When I rely on myself only it is not as bad.,Commute to work ,Traffic early in the morning and after work is horrible. Before a big day and after a stressful one it adds more stress.,Finances,My husband is unable to work so everything is on me. Sometimes it is very difficult to make ends meet.,I listen to music to and from work.,I watch a comedy after a stressful day.,I get together with friends to discuss financial tips.
my family cause the most stress in my life,conflicting schedules,my helath causes my next big stress,dealing with weight related issues,money is my next big stress,not having enough money to get everything done,"calander, and splitting time as fairly as possible","diet,and doing as much as I can","couponing, saving money where possible"
Working load,My office give woking load,Family responsibilities and tension,Family and responsibilities are big problem,Financial problems,Finance and money is big problem,Stay clam and woking properly,Give time to family,Make more money
University,Doing well on exams and staying on top of all priorities,Work,Finding a full time job or internship. Interviewing is stressful,Health,Working out consistently and eating healthy,Practice better study habits.. take nootroipics maybe?,Apply widely as possible and network with others in the industries you're interested in,track your calories and find a workout partner
shortage of money,can't meet financial requirments.,children low standard in school,children score less mark in school,abdominal pain,taking medicine,going for part time work,giving them special attention,control the life style
Work,There are too many deadlines and clients are demanding.,My dog,She has an aggressive cancer and requires a lot of care.,Finances,I never seem to have enough money to pay my bills and I do not live extravagently.  ,Take a weekend completely off every once in a while.,Share the responsibility with my husband.,Use Mechanical Turk to make a few extra dollars.
Work,The time commitment of making sure I do my job well.,Friends,Making sure I have enough time to spend with my friends.,Sleep,I don't get enough sleep.,Make to-do lists and follow through with them,Picking one friend group each weekend to spend time with.,Trying to do housecleaning earlier in the day so I don't have to clean before bed.
Money,Making enough money to pay my bills,Parenting,preparing my daughter for the real world,Health,"Hoping my chronic conditions do not keep me from living a full, happy life","Try not to worry about them, do what I can.",Work as much as I can,remind myself to be grateful for have I have and can do now
My children.,The demand of being a stay at home mom during the day is very stressful and exhausting.,Work,Having to go to work at night after being exhausted all day from the kids is stressful.,Money.,Finances are always such a big stressor since we have debt we never intended to build up.,I try to clear my head and meditate.,I enjoy going for massages to lessen my stress.,I talk to my husband about my stress.
finances,whether able to pay bills,health,whether able to function,food prices,whether able to meet necessities,budget tightly,keep up on current info,budget tightly
Work,I have many tasks competing for my attention and no way to limit my overall workload.,Family,My family does not always respect my boundaries or treat me well.,Finances,Unexpected expenses can cause stress and worry.,I attempt to prioritize and in some cases delegate tasks.,I attempt to enforce boundaries and limit my commitments.,I budget and plan as best I am able for exigencies.
the unpunctuality of other people,It bothers me to wait for others,the uncertainty of waiting for something,when you expect something like a result or an approval f whatever,deadlines at work,have the pressure of a deadline in your mind,distract me doing something else,go jogging,focus on positive things
Work,I work 4 jobs and 3 of them have crazy bosses.,Bills,"I have rent, car payments, and credit card bills to pay. ",Myself,I don't learn things as quickly as I need to nor am I brave enough to attempt new things.,Scroll through social media,Pet my bunnies,"Drink alcohol (i know, it's not a good strategy)"
Finances,Wondering if we will have enough money to pay bills and buy Christmas gifts,Job,Expectations and rules keep changing which makes it hard to keep up and do well ,Kids,Worrying about their futures,Work through the issues and find a solution,Talk about it with good friend,Eat junk food
money,I'm stressed about how we can afford to pay our bills.,children,My children hardly ever listen and it's incredibly frustrating. ,job,My husband is looking for a new job.,I go for a run.,I bake sweets.,I watch tv or read a book.
working station,because  so many urgent sometimes very pressure,home,home sometimes ,traffic,most of time very irritate in traffic,yoga,alone,gym
irrational people,they do not bother me except when they affect my life and involved in my life and cause trouble for me and you can not reason with them because they are irrational,ridiculous mistakes that is made on purpose,I think you can usually tell when people deliverately do something wrong to irritate you or when they make a mistake and I just do not get when people deliberately do thing that waste my time ,Dealing with people who cause trouble for the sake of it,"there is times when there is disagreement, and there is times when someone just tries to cause trouble for a lose lose situation that I rather not get involved with",ignore irrational people,avoid people the deliberately make mistake to irritate me,stay away from people who seeks lose lose situation
SUCCESS,I FEEL THAT I AM NOT SUCCESSFUL,FUTURE,I WORRY ABOUT FUTURE,MONEY,I WORRY ABOUT FINANCIAL SITUATION.,I recall the things that I have and feel good about it.,I ignore to think about it and live in present.,I hope for the best in everything.
n,n,n,n,n,n,n,n,n
Finances,Not having enough money,Health,Having health problems.,Depression,Being depressed alot.,Try to find ways to make extra money.,crafts,relax
Romantic partner,My romantic partner is constantly complaining about everything and anything.,My brother,My brother does not do nothing and he keeps his yard dirty.,My son,My son is going through a not listening stage.,Adult coloring,Smoking cigarettes,Eating
time management,Having enough time in day to do everything that is needed of myself.,Money,Not making enough money to support needs.,Health,Having uncontrolled health issues.,Prioritizing things in timely manner.,Finding extra ways to make money.,Work on managing aspects of illness.
Money,"Never have enough of it, or deciding where to spend it or your kids wanting to have it.",Work,Excessive amount of work due to workforce reductions and then fear of being in a surplus situation,Parenting,Did I do a good job raising my kids? Are they productive members of society? Could I have done more to make them smarter?,I try not to frivolously spend and work hard to ave properly for retirement. ,I work hard to be really good at my work to maintain a valuable spot in the company and get a better bonus to help Stress #1,I talk to my kids and make sure they have what they need and then I look at their good grades and get proud.
Children,I have two children under 2 years old.  Taking care of them is stressful.,In-laws,I can't stand my in-laws.,Money,"I am a stay-at-home mother, so our only income comes from my husband.",I multitask as much as possible.,I try to do chores around the house when they come over.,I have various ways of making a little bit of extra money while at home.
Work,Different task that I have to perform daily.,Heart,I have heart disease major problems with my heart,Family, My wife grown adult kids who refuse to work and she keeps up.,Meditation,Exercise,Medication
finances,My husband recently changed jobs resulting in less pay.,being a good parent,I am a stay at home parent.,holidays,The holidays are coming meaning lots of obligations.,Finding ways to reduce spending and increase income.,I pray a lot and trust that God will cover the gaps in my parenting.,I try to remember it'll be over quickly.
money,shortage of money causes stress on me,health issue,i got stress and tension when i got diseases,anger,"when i got anger,i always stressed out",i will do deep breath,i will meditate to release stress,i will do some exercise
Hectic schedule ,It is hard to go from work to other obligations on time.,Work deadlines ,Nearly every part of my job has something that needs to be completed within 48 hours.,Not enough sleep ,"Since my son goes to bed so late, and I get up early for work, I am left with not enough sleep daily.",I have tried to reschedule things so I can have periodic down time.,I try to prioritize the logs and paperwork that need to be finished first.,I am requiring my son to be in his bed by 9pm so I can sleep sooner.
financial security,cost of living versus wages is not consistent ,job security,getting a job in my field is competitive ,society,people are crazy,practice smart spending,learn more skills,stay off of social media
Retired but not enough money to live on,I sometimes worry about the direction things are headed in knowing I have little to no control.,Children,Helpless to save my children and make their lives better and happy the way they want and what I believed watching them grow up.,House,I should not be buying a house when I really need money for repairs.  ,I am doing little surveys online sometimes I do some paperwork for my sister.,My routine and exercise program helped I need to get back on it.,Things will work out and get this done [not major repairs]
Money,I want to have more money to afford a place to live,Work,Work is always a bit stressful,Teeth,Might have to get braces soon,Think about other things,Take deep breaths,Tell myself it could be worse
School,Trying to get good grades,Relationship,Trying to do right by my girlfriend,Playing football,Trying to not let my family and team down,Miss days of school,Try to listen when she talks,Not hear others opinions and just try to have fun. 
money,not making enough to pay the bills,pet,my cat has a terminal illness,relationships,my family ignores me most of the time,I watch videos to learn fun crafts,I make up stories in my head with happy situations,I shop for clothes or shoes
 money ,always plaing catch up ,my kid ,allergic to dairy ,work ,feel like i am getting tasken advatice of ,i sleep to reduce stress ,hiking reduces stress ,musice reduces stress 
Money,How much money it cost to raise our family.,Work,My job is very high stress.,Health,I have had some health issues recently.,Spend time with family,Go to a movie by myself,Talk to friends
Thinking about health,if some pain comes i used to worry about that,Financial,I am worried during old age i will not have enough money in my hand.,Natural diasaster,I am worried about earthquakes huriicanes etc,go for walk,rad books,craft works
Money,I sometimes worry about having enough money to make ends meet.,Son,My son's health is a cause of stress for me because I am concerned for him.,Distance,I live too far from my son and I worry about him because I can't be there to make sure he is okay.,I work a manual labor job to bring home extra money.,I google solutions to my son's health concerns.,My son and I message regularly.
Work,Some of my tasks involve a lot of pressure.,Appointments,I dread anticipation.,Traffic,Feeling trapped is unbearable.,Take brief trips away from my desk.,Just deal with it.,Listen to music.
Driving ,People drive so poorly! I hate having to watch for everything.,Clutter,Everything must be put away neatly in its place!,Winter,I hate snow!! And all the bad drivers make it worse,Stay home,Make my family clean up after themselves.,Move closer to the equator
My biggest stressor is work.  ,"I work in retail sales, in technology.",Family issues can sometimes be a stressor.,Especially my mom who can't hear very well.,Our financial situation can be a stressor.,"Money is tight, often living paycheck to paycheck.",Deep breathing exercises.,I use essential oils that help keep me calm.,I talk to myself to keep me calm.
money,money issues and not having enough for bills,Kids,Always fighting and making messes,work,Always being asked to do jobs that arent mine.,I try to get extra hours to make more money,I talk with them and try to get them to get along,Do what is asked and suck it up.
C-PTSD,Complex post traumatic stress disorder from lifelong trauma,Money,I am disabled and must work from home for very low pay and it's difficult to make ends meet.,Bully neighbors,My next door neighbors are bullies who get pleasure out of being cruel. ,I listen to music.,I watch a movie to escape the real world.,I spend time with my animals. 
Money,Lack of money can be lead to stress,Health issues,Health problems lead to stress,Family problems,Family problems can lead to stress,Live a peaceful life ,Eat healthy food items,Do exercise regularly
Money,I don't make enough money to pay my bills at this time,Not having an apartment of my own right now,I am staying with someone,Bills,"Credit cards, car payment and loan are so overwhelming when I barely have income",Work on MTurk ,"Compare staying with someone to living on the street or in my car, then it doesn't seem so bad",Reducing frivolous spending and starting to pay more than the minimum payment every month 
Financial,I am not able to work out of my home due taking of my disabled son.,Depression,"Clinical depression makes it hard for me to cope with everyday problems calmly and effectively,",Time,Due to housework and taking care of my disabled son it feels like it is not enough time in the day to accomplish my personal goals.,Accept the fact that I may not be able to work until my son gets better.,Seek help and therapy for the depression.,Make a schedule and set aside time to do any personal goals or tasks.
Social media,Unwanted social media messages comes from our account and spending time for lot,work stress,overtime work at night to finish the process,work burden,too many work can take individually at a single time ,Reduce spam filter to reduce the messages and control time to spend on social media,listen music and other wanted that soothes our mind and body,split work to others so can handle stress easily
work,time constraints,finances,increasing bills,children,education and school problems,therapy,meditation,exercise
Children,My children are very needy,Work,"I have a very stressful, demanding job",Money,I'm the sole earner in our family and income is inconsistent with freelance work,Play video games,Drink alcohol,Have sex
work,"too much to do, not enough time",work,Possible layoffs,girlfriend,dont have enough time together.,ask for help from boss,start looking now for new job,find job closer to home to save time
My husbands job,"My husband is in the US Army, and it can be stressful.",Raising my children,"It is stressful raising children, there are so many different things to stress about when it comes to them.",Bills,Paying for bills is stressful because of the expenses.,Prayer,Preparing ahead of time,Letting the small things go
illness,I have a chronic illness- Inclusion Body Myositis,finances,Always seems like we never have enough money,the death of my son,"he died years ago, but I miss him terribly",Get as much exercise as I can,Try to find other sources of income,Try not to think of him so much.
Work,Unpredictable outcomes and workload,Childcare,Needy and moody child,Cooking for family,Uncertain on meeting expectation,Get enough sleep,Don't take self too seriously,Have backup plan
Socializing,I have a strong stress response when I'm around people.,Deep focus,My body defaults to an anxious state when I'm absorbed in work,Frustrated with my circumstances,"As one would expect, feeling cornered is stressful.",Avoid people,Take frequent breaks to come down to baseline,Distract myself enough to forget about it
work,maintaining employment and performing above standards.,Home,keeping up with choirs to maintain a stable home.,Girlfriend,pleasing her on a daily basis ,become a independent business owner.,i honestly have no idea,figure out if we are meant together.
Finances,anything to do with money,Pain,physical discomfort due to spinal degeneration,boredom,having a lack of interest for anything specific,try to focus on the most important bills first,I use heat and stretching to try to reduce the pain.,I have recently started doing Mturk tasks to help with #1 and #3
moving to new home,no friends ,work pressure,unhappy with my job,kids ,too much responsibility,doing one hour yoga,walking,watching comedy web series
School,I want to get into Medical School,Work,People are unpredictable,Public places,I have diagnosed Anxiety,I listen to piano music,I drink warm drinks because they're soothing,I play with my dog because he's always happy
Money,We are having problems making our bills each month.,Spouse,My spouse and I are not getting along. ,Housework,I don't have any help with the housework and it is hard to keep the house in order. ,I try to find ways to save money and budget.,I am trying to not be negative all the time. ,I am trying to make a schedule so the kids can help. 
kids,when my kids are misbehaving,food,when i haven't eaten in a while,job,when i have too much work to do at my job,listen to music,run,eat food
traffic,When I'm driving in traffic it stresses me out because I have to be alert at all times,My mother's health,My mother doesn't have the best healthy lately so I worry about her,Work,Work can be stressful at times because projects can not go as planned,Take breaks to walk outside in nature,Talk with my husband,Do something I enjoy like enjoying the outdoors or baking
eat,i dont like it,bath,i dont like it,drink,i dont like it,by doing yoga,by doing yoga,by doing yoga
My son,"My son was born with a CHD, so everyday is stressful worrying about him",Money,"I am not working in order to care for my children, so having enough money to pay bills is always a concern",My health,I worry about my health all the time because I worry about not being here for my boys.,Cleaning,watching tv,smoking 
exhausted ,when there is too much works we felt stress,sorrow,when love one is pass away we felt stress,fail,"When we fail something (ex. exam, interview etc) we felt stress.",find less job which is no burden.,Only prayer thing can solve our heart pain,We should have better prepartion for interview.
time,feeling like there isn't enough time to get things done,work,doing a good job,relationships,being there for everyone but still trying to manage to have time for myself,prioritizing things I have to do,reminding myself that not everything has to be done perfectly for it to be a good job,"making sure to schedule in alone/""me"" time to keep my own needs and goals a priority"
Work,Work is the most stressful as I think about it often and it worries me. It's important and a big part of life.,Money,Bills add up and don't go away. You need to eat. ,Relationships,"Another important part of life, it's difficult to manage all aspects. ","Try to think positive, remember vacations, try and enjoy.","Savings plan, budget","Be happy, enjoy each other"
Money,Sometimes I struggle to make ends meet or do things I would enjoy.,Girlfriend,She can be a drain on me emotionally.,Work,My bosses can be unreasonable,I save money when I can.,I try to understand where she's coming from.,I forget all about work when I get home.
Surgery,I’m having surgery to try and improve quality of life. Not sure if it will work.,Can’t work,Disabled ,My skin,I have very sensitive skin and it drys out and create sores,Meditation and breathing techniques ,"Cleaning and cooking, as well as being with my son and animals ",I try and say positive things about myself and eat a healthy diet 
Work,the pressure of my boss,My wedding,The organisation doesn't help to have time for me,Subway,"Too much people, Subway failures which makes be late for work",Delegate work task,Take more time for me,Vitamines
Money,Not having enough money to buy the things i want.,Lonliness,Being lonely and having no significant other to love me,Family,My family is sometimes out of hand,Remind myself it could be worse,Remind myself there is someone for everyone,Love them
Money ,Not enough to take care of things ,Bills ,More bills then money to pay them ,Health,Autoimmune diseases and chronic pain ,Pay as much as I can ,Stretch it out ,Meditate as much as possible.
Working long hours,12 hours extra time working created some stress,Loss of a job,"It's normal to feel angry, hurt, or depressed, grieve at all that you've lost, or feel anxious about what the future holds.",Taking care of an elderly or sick family member,"Unrealistic expectations. No one is perfect. If you expect to do everything right all the time, you're destined to feel stressed when things don't go as expected.",relax for working time so stress was control,feeling sad listen song,some reduced carrying process.
FINANCIAL STRESS,DUE TO SUDDEN NEED OD MONEY DUE TO UNAVOIDABLE EXPENSE,HEALTH STRESS,STRESS DUE TO ENVIRONMENTAL CHANGES,STATUS OF LIFE IN SOCIETY,TAKE CARE OF OUR FAMILY FROM SOCIETY,REGULAR SAVINGS AND BUDGETED SPENDING MONEY,LIFE MEDICAL INSURANCE,TO AVOID CLASHING WITH OTHER PEOPLES
Mental Health,I am not on any of my medication and need to see a psychiatrist soon.,Work,I do not currently have a consistent paycheck.,Homelife,My roommate makes me very anxious and creates strain on my situation.,Communicate and work with my wife.,Make lists.,Use nicotine.
I really don't have much stress.,I really don't have much stress.,I really don't have much stress.,I really don't have much stress.,I really don't have much stress.,I really don't have much stress.,I really don't have much stress.,I really don't have much stress.,I really don't have much stress.
Money,I spend too much,Health,Got very unhealthy after childbirth,Crack in winshield,My dumb husband tried to kill a bug on my car windshield and it cracked. Now I have to pay $300 for it .,Youtube ,Play rpg games,Chat on blogs
finances,Making sure I have enough money to pay all the bills,my kids,teenagers doing dumb stuff to affect their future,sick relative ,relative has cancer and just had surgery,budget out my bills ,try to see all angles of the situation and remind myself that they are just kids.,pray
Money,Lack of money,Marriage,issues with my husband,Health,My mom's cancer,I handle stress better when I have a plan. ,xanax,I do rely on Xanax when I get panic attacks (medically diagnosed) in regards to my mom's stage 4 pancreatic cancer
job,promoted so new challenges,finances,do not make enough,bills,behind on so many bills,Have a cup of coffee,Drive around the road for a bit.,Play video games to take my mind off things.
management,poor decisions they take,too much work,management that does not know what it takes to do the work,parent's health,if they get sick,try to put in perspective ,try to put in perspective,try to put in perspective
work,my boss sucks,money,making sure i have enough,time to relax,finding time to take care of myself,deep breathing,running ,reading
divorce,divorce it self is a stressful illness,low self esteem,they have poor social support,loss of job,"its a lifes most stressful exsperience when u have kids and bills , it a big change that has to be made all at one time",accept the fact that some things you cant control,try to do meditation or eat healthy,extracise
work,i cant find a job,money,we have less income right now,home,nowhere to live for the last few months,find a job asap,working here on mturk to bring more money in,find a place to live
Family,I have not heard from my eldest son in over a year.,Weight,I have put on 10 pounds of the 100 I lost and I can't get it off.,Work,I have to combine with another classroom and the children are young and I do not enjoy being in there.,I focus on my other 2 sons and pray that he will contact me again.,I work hard with a trainer and go to the gym 6 days for 1 hour.,I try to split the class so I can take just my students to another room for an hour when possible.
